Sale Date,Route ID,Outlet ID,Outlets,Serial No,Gross sales
25-07-2025,Route005,1025942,Chamila Stores,54865,6076.8
25-07-2025,Route005,1025946,N  P   korea mart,54851,3591
25-07-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,54848,1552.5
29-07-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,54912,10527
02-08-2025,Route005,1025946,N  P   korea mart,54991,6700.2
04-08-2025,Route005,197247,ANOMA STORES,55035,1080
06-08-2025,Route005,1025942,Chamila Stores,55066,540
08-08-2025,Route005,1025946,N  P   korea mart,55104,10662.3
11-08-2025,Route005,266594,THUSALI STORES,55120,20050.5
11-08-2025,Route005,1025956,Sandun Stores,55118,8258.4
22-08-2025,Route005,1025942,Chamila Stores,55334,8643
22-08-2025,Route005,270094,ISURU BOOK SHOP,55330,2407.5
22-08-2025,Route005,1025956,Sandun Stores,55328,11103.6
22-08-2025,Route005,266594,THUSALI STORES,55327,22133.4
22-08-2025,Route005,127840,RENUKA STORES,55324,2038.5
23-08-2025,Route005,1025946,N  P   korea mart,55351,4828.5
29-08-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,55474,1115.1
29-08-2025,Route005,1025945,Game kade,55472,4860
29-08-2025,Route005,197247,ANOMA STORES,55468,38655
29-08-2025,Route005,270094,ISURU BOOK SHOP,55463,1300.5
29-08-2025,Route005,1025956,Sandun Stores,55460,10905.3
29-08-2025,Route005,266594,THUSALI STORES,55459,15015.9
03-09-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,55571,10618.2
05-09-2025,Route005,270094,ISURU BOOK SHOP,55632,674.7
05-09-2025,Route005,1025945,Game kade,55629,3240
05-09-2025,Route005,1025946,N  P   korea mart,55625,10375
05-09-2025,Route005,197247,ANOMA STORES,55624,3545
05-09-2025,Route005,1025942,Chamila Stores,55621,7843.7
05-09-2025,Route005,1025956,Sandun Stores,55618,12249
05-09-2025,Route005,266594,THUSALI STORES,55617,16203.6
12-09-2025,Route005,1025942,Chamila Stores,55756,10357.2
12-09-2025,Route005,266594,THUSALI STORES,55751,14935.2
13-09-2025,Route005,1025946,N  P   korea mart,55762,9967.5
19-09-2025,Route005,1025942,Chamila Stores,55895,5103.3
19-09-2025,Route005,270094,ISURU BOOK SHOP,55890,1444.5
19-09-2025,Route005,127840,RENUKA STORES,55889,1714.5
19-09-2025,Route005,266594,THUSALI STORES,55880,20424.9
19-09-2025,Route005,1025956,Sandun Stores,55879,12876.9
19-09-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,55869,1026
23-09-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,55956,10075.8
24-09-2025,Route005,1025946,N  P   korea mart,55975,13020.1
26-09-2025,Route005,1025945,Game kade,56021,225
26-09-2025,Route005,197247,ANOMA STORES,56016,126
27-09-2025,Route005,1025946,N  P   korea mart,56039,2205
27-09-2025,Route005,1025956,Sandun Stores,56035,1080
27-09-2025,Route005,266594,THUSALI STORES,56034,16377
27-09-2025,Route005,197247,ANOMA STORES,56031,36117.6
03-10-2025,Route005,270094,ISURU BOOK SHOP,56171,2826
03-10-2025,Route005,127840,RENUKA STORES,56166,1152
03-10-2025,Route005,1025942,Chamila Stores,56162,14301
03-10-2025,Route005,1025956,Sandun Stores,56160,3579.9
03-10-2025,Route005,266594,THUSALI STORES,56159,10670.4
10-10-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,56248,1498.5
11-10-2025,Route005,341989,DINETHMA COMMUNICATIONS @ GROCERY ,56261,11246.1
13-10-2025,Route005,266594,THUSALI STORES,56298,19703.8
14-10-2025,Route005,1025956,Sandun Stores,56300,11336.4
17-10-2025,Route005,1025942,Chamila Stores,56392,5952.8
17-10-2025,Route005,1025956,Sandun Stores,56388,11012.45
17-10-2025,Route005,266594,THUSALI STORES,56387,15870.4
17-10-2025,Route005,1025945,Game kade,56377,13248
18-10-2025,Route005,197247,ANOMA STORES,56423,630
18-10-2025,Route005,1025946,N  P   korea mart,56412,17226
22-10-2025,Route005,270094,ISURU BOOK SHOP,56520,540
24-10-2025,Route005,1025946,N  P   korea mart,56561,1512
24-10-2025,Route005,270094,ISURU BOOK SHOP,56552,4063.5
24-10-2025,Route005,1025942,Chamila Stores,56548,10659.6
24-10-2025,Route005,197247,ANOMA STORES,56545,38181.15
25-10-2025,Route005,1025942,Chamila Stores,56572,1651.5
28-10-2025,Route005,1025956,Sandun Stores,56618,10309
28-10-2025,Route005,266594,THUSALI STORES,56617,26356.8
31-10-2025,Route005,25200,KAMALA STORES,56719,633.6
31-10-2025,Route005,1025946,N  P   korea mart,56716,23332.5
31-10-2025,Route005,127840,RENUKA STORES,56714,5650.05
