Sale Date,Route ID,Outlet ID,Outlets,Serial No,Gross sales,Bill Disc,Dist Disc,SKU Disc,Rebate,Market Rtn Amount,Fresh Rtn Amount,Rev.GRTS,Net Sales,Cash Sales,Cheque Sales,Credit Sales,Diff
29-07-2025,Route002,19526,ABESIRI STORES,54922,48596.8,1613.32,0,421.31,0,639,0,0,45923.17,0,45923,0.17,0
29-07-2025,Route002,682270,MANIKEGE KADE,54919,1620,0,0,0,0,0,0,0,1620,1620,0,0,0
29-07-2025,Route002,19510,HEMALI STORES,54914,34033.8,1220.92,0,0,0,1575,0,0,31237.88,0,0,31237.88,0
29-07-2025,Route002,19525,KUMARA STORES,54913,5224.8,208.99,0,0,0,0,0,0,5015.81,5015.81,0,0,0
05-08-2025,Route002,156783,GAMINI ST,55047,31538,1144.66,0,0,0,0,0,0,30393.34,30393.34,0,0,0
05-08-2025,Route002,19522,NERANJAN STORES,55046,4833.6,0,0,0,0,0,0,0,4833.6,4833.6,0,0,0
06-08-2025,Route002,263554,KUMARA STORES,55076,7316.25,0,0,0,0,0,0,0,7316.25,7316.25,0,0,0
06-08-2025,Route002,19526,ABESIRI STORES,55072,1267.2,0,0,0,0,0,0,0,1267.2,1267.2,0,0,0
06-08-2025,Route002,682270,MANIKEGE KADE,55065,2052,0,0,0,0,0,0,0,2052,2052,0,0,0
06-08-2025,Route002,187254,IDUWARA STORES,55057,39618.6,1346.06,0,283.5,0,0,0,0,37989.04,0,0,37989.04,0
08-08-2025,Route002,19526,ABESIRI STORES,55102,1372.35,0,0,0,0,0,0,0,1372.35,1372.35,0,0,0
12-08-2025,Route002,191574,SADAMALI STORES,55154,830.4,0,0,0,0,290.4,0,0,540,540,0,0,0
12-08-2025,Route002,263554,KUMARA STORES,55153,7641,116.64,0,283.5,0,0,0,0,7240.86,7240.86,0,0,0
13-08-2025,Route002,156783,GAMINI ST,55165,15581.55,526.33,0,0,0,0,0,0,15055.22,15055.22,0,0,0
19-08-2025,Route002,19526,ABESIRI STORES,55274,24180.4,967.22,0,0,0,0,0,0,23213.18,0.18,23213,0,0
19-08-2025,Route002,191574,SADAMALI STORES,55266,4117.65,0,0,0,0,0,0,0,4117.65,4117.65,0,0,0
19-08-2025,Route002,19510,HEMALI STORES,55262,41737.85,1495.15,0,0,0,0,0,0,40242.7,0,0,40242.7,0
19-08-2025,Route002,19525,KUMARA STORES,55261,1732.25,0,0,0,0,0,0,0,1732.25,1732.25,0,0,0
20-08-2025,Route002,156783,GAMINI ST,55295,18673.2,722.09,0,0,0,0,0,0,17951.11,17951.11,0,0,0
20-08-2025,Route002,263554,KUMARA STORES,55288,4725,0,0,283.5,0,0,0,0,4441.5,4441.5,0,0,0
20-08-2025,Route002,19522,NERANJAN STORES,55287,8505.6,340.22,0,0,0,0,0,0,8165.38,8165.38,0,0,0
21-08-2025,Route002,334942,SIRISENA & SONS,55306,2038.5,0,0,0,0,0,0,0,2038.5,2038.5,0,0,0
21-08-2025,Route002,682270,MANIKEGE KADE,55304,1080,0,0,0,0,0,0,0,1080,1080,0,0,0
26-08-2025,Route002,263554,KUMARA STORES,55403,6101.4,244.06,0,0,0,78.75,0,0,5778.59,5778.59,0,0,0
27-08-2025,Route002,187254,IDUWARA STORES,55433,844.8,0,0,0,0,0,0,0,844.8,844.8,0,0,0
27-08-2025,Route002,156783,GAMINI ST,55428,17541.6,663.86,0,0,0,0,0,0,16877.74,16877.74,0,0,0
27-08-2025,Route002,19522,NERANJAN STORES,55425,31968.2,1089.73,0,283.5,0,144,0,0,30450.97,30450.97,0,0,0
30-08-2025,Route002,334942,SIRISENA & SONS,55487,5576.4,0,0,0,0,0,0,0,5576.4,5576.4,0,0,0
02-09-2025,Route002,682270,MANIKEGE KADE,55556,2038.5,0,0,0,0,0,0,0,2038.5,2038.5,0,0,0
02-09-2025,Route002,19522,NERANJAN STORES,55550,11961.6,478.46,0,0,0,0,0,0,11483.14,11483.14,0,0,0
02-09-2025,Route002,156783,GAMINI ST,55543,24203.7,840.67,0,0,0,180,0,0,23183.03,23183.03,0,0,0
02-09-2025,Route002,19526,ABESIRI STORES,55542,10003.7,400.15,0,0,0,0,0,0,9603.55,9603.55,0,0,0
02-09-2025,Route002,19525,KUMARA STORES,55530,10258.8,410.35,0,0,0,0,0,0,9848.45,9848.45,0,0,0
03-09-2025,Route002,263554,KUMARA STORES,55568,14448.6,521.24,0,0,0,0,0,0,13927.36,13927.36,0,0,0
03-09-2025,Route002,187254,IDUWARA STORES,55563,42800.4,1523.02,0,283.5,0,0,0,0,40993.88,0,0,40993.88,0
05-09-2025,Route002,19526,ABESIRI STORES,55611,81,3.24,0,0,0,0,0,0,77.76,77.76,0,0,0
09-09-2025,Route002,156783,GAMINI ST,55692,18002.5,644.5,0,0,0,0,0,0,17358,17358,0,0,0
11-09-2025,Route002,263554,KUMARA STORES,55732,10881.6,435.26,0,0,0,0,0,0,10446.34,10446.34,0,0,0
11-09-2025,Route002,19522,NERANJAN STORES,55729,6048,0,0,0,0,0,0,0,6048,6048,0,0,0
13-09-2025,Route002,19526,ABESIRI STORES,55767,1296,0,0,0,0,0,0,0,1296,1296,0,0,0
16-09-2025,Route002,334942,SIRISENA & SONS,55830,724.2,0,0,0,0,0,0,0,724.2,724.2,0,0,0
16-09-2025,Route002,263554,KUMARA STORES,55829,5623.8,0,0,0,0,0,0,0,5623.8,5623.8,0,0,0
16-09-2025,Route002,19526,ABESIRI STORES,55828,18224.4,539.98,0,283.5,0,963,0,0,16437.92,0.92,16437,0,0
16-09-2025,Route002,682270,MANIKEGE KADE,55823,1080,0,0,0,0,0,0,0,1080,1080,0,0,0
16-09-2025,Route002,191574,SADAMALI STORES,55817,6975,90,0,283.5,0,0,0,0,6601.5,6601.5,0,0,0
16-09-2025,Route002,19510,HEMALI STORES,55814,38607.35,1465.54,0,0,0,810,0,0,36331.81,0,0,36331.81,0
16-09-2025,Route002,19525,KUMARA STORES,55812,7047,281.88,0,0,0,0,0,0,6765.12,6765.12,0,0,0
18-09-2025,Route002,156783,GAMINI ST,55858,24273.6,933.14,0,0,0,324,0,12.96,23029.42,23029.42,0,0,0
18-09-2025,Route002,19522,NERANJAN STORES,55856,6358.8,254.35,0,0,0,0,0,0,6104.45,6104.45,0,0,0
23-09-2025,Route002,191574,SADAMALI STORES,55961,540,0,0,0,0,0,0,0,540,540,0,0,0
24-09-2025,Route002,263554,KUMARA STORES,55986,3659.25,0,0,0,0,171,0,0,3488.25,3488.25,0,0,0
24-09-2025,Route002,19522,NERANJAN STORES,55984,5292,0,0,0,0,2457,0,0,2835,2835,0,0,0
24-09-2025,Route002,156783,GAMINI ST,55979,20145.2,805.81,0,0,0,0,0,0,19339.39,19339.39,0,0,0
27-09-2025,Route002,19526,ABESIRI STORES,56041,621,0,0,0,0,0,0,0,621,621,0,0,0
30-09-2025,Route002,19526,ABESIRI STORES,56074,43218,0,0,0,0,0,43200,0,18,18,0,0,0
01-10-2025,Route002,156783,GAMINI ST,56121,21082.5,697.23,0,0,0,0,0,0,20385.27,20385.27,0,0,0
01-10-2025,Route002,19526,ABESIRI STORES,56119,21988.8,879.55,0,0,0,0,0,0,21109.25,0.25,21109,0,0
