Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	21	21	1.79	114.4	2402.4
28-07-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	6	6	0.51	114.4	686.4
29-07-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	3	1	73	6.21	114.4	8351.2
30-07-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	14	14	1.19	114.4	1601.6
26-09-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	2	6	54	4.59	114.4	6177.6
27-09-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	15	39	3.32	114.4	4461.6
29-09-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	0	24	2.04	114.4	2745.6
30-09-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	3	27	2.3	114.4	3088.8
01-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	3	0	72	6.12	114.4	8236.8
02-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	2	2	0.17	114.4	228.8
03-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	2	2	0.17	114.4	228.8
04-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	7	7	0.6	114.4	800.8
07-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	3	3	0.26	114.4	343.2
08-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	10	10	0.85	114.4	1144
10-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
11-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	11	11	0.94	114.4	1258.4
13-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
14-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	13	37	3.15	114.4	4232.8
15-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	21	21	1.79	114.4	2402.4
16-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	23	47	4	114.4	5376.8
17-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	8	8	0.68	114.4	915.2
18-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	4	28	2.38	114.4	3203.2
20-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
21-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
22-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	14	14	1.19	114.4	1601.6
23-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	8	32	2.72	114.4	3660.8
24-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	11	11	0.94	114.4	1258.4
25-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	9	9	0.77	114.4	1029.6
27-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	3	3	0.26	114.4	343.2
28-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	19	19	1.62	114.4	2173.6
29-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	8	32	2.72	114.4	3660.8
31-10-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	19	19	1.62	114.4	2173.6
01-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	6	6	0.51	114.4	686.4
03-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	6	6	0.51	114.4	686.4
04-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	2	0	48	4.08	114.4	5491.2
06-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	18	18	1.53	114.4	2059.2
07-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	10	10	0.85	114.4	1144
08-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	13	13	1.11	114.4	1487.2
10-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	18	18	1.53	114.4	2059.2
11-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	3	27	2.3	114.4	3088.8
12-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	3	27	2.3	114.4	3088.8
13-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	3	27	2.3	114.4	3088.8
14-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	11	35	2.98	114.4	4004
15-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	10	34	2.89	114.4	3889.6
16-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	11	11	0.94	114.4	1258.4
17-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	10	10	0.85	114.4	1144
18-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	20	20	1.7	114.4	2288
19-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
20-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	16	16	1.36	114.4	1830.4
21-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	14	14	1.19	114.4	1601.6
22-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	1	10	34	2.89	114.4	3889.6
25-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	12	12	1.02	114.4	1372.8
26-11-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	5	5	0.43	114.4	572
10-12-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	22	22	1.87	114.4	2516.8
12-12-2025	1488	CREAM WAFER CHOCOLATE 85GX24-MRP130.00	0	2	2	0.17	114.4	228.8
