Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	8	8	0.68	105.6	844.8
26-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	5	12	312	26.52	105.6	32947.2
28-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	24	24	2.04	105.6	2534.4
29-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	42	102	8.67	105.6	10771.2
30-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
31-07-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	12	72	6.12	105.6	7603.2
02-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	31	31	2.64	105.6	3273.6
04-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	21	21	1.79	105.6	2217.6
05-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	4	4	0.34	105.6	422.4
08-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	16	16	1.36	105.6	1689.6
11-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	21	21	1.79	105.6	2217.6
12-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	12	12	1.02	105.6	1267.2
13-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	35	35	2.98	105.6	3696
15-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	25	25	2.13	105.6	2640
16-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	35	35	2.98	105.6	3696
18-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	54	54	4.59	105.6	5702.4
19-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	40	40	3.4	105.6	4224
20-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	4	4	0.34	105.6	422.4
21-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	18	18	1.53	105.6	1900.8
22-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
23-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	12	12	1.02	105.6	1267.2
25-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	3	63	5.36	105.6	6652.8
26-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	5	65	5.53	105.6	6864
27-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	26	26	2.21	105.6	2745.6
28-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	5	0	300	25.5	105.6	31680
29-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	28	28	2.38	105.6	2956.8
30-08-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	12	72	6.12	105.6	7603.2
01-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
02-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	15	15	1.28	105.6	1584
03-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	57	57	4.85	105.6	6019.2
04-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	33	33	2.81	105.6	3484.8
05-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	28	28	2.38	105.6	2956.8
06-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	30	90	7.65	105.6	9504
08-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	24	24	2.04	105.6	2534.4
09-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	7	7	0.6	105.6	739.2
10-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	30	30	2.55	105.6	3168
11-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	2	29	149	12.67	105.6	15734.4
15-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	5	0	300	25.5	105.6	31680
23-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	12	12	1.02	105.6	1267.2
24-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	49	49	4.17	105.6	5174.4
25-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	12	12	1.02	105.6	1267.2
26-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	39	99	8.42	105.6	10454.4
27-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	42	42	3.57	105.6	4435.2
29-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	18	18	1.53	105.6	1900.8
30-09-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	9	9	0.77	105.6	950.4
08-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	8	68	5.78	105.6	7180.8
10-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	37	37	3.15	105.6	3907.2
11-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	21	81	6.89	105.6	8553.6
13-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	56	56	4.76	105.6	5913.6
14-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	2	5	125	10.63	105.6	13200
15-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	12	15	735	62.48	105.6	77616
16-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	14	14	1.19	105.6	1478.4
17-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	16	76	6.46	105.6	8025.6
18-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	16	16	1.36	105.6	1689.6
20-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	53	53	4.51	105.6	5596.8
21-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	49	49	4.17	105.6	5174.4
22-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	54	114	9.69	105.6	12038.4
23-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	5	27	327	27.8	105.6	34531.2
24-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	47	47	4	105.6	4963.2
25-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	30	30	2.55	105.6	3168
27-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	28	28	2.38	105.6	2956.8
28-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	47	47	4	105.6	4963.2
29-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	12	12	1.02	105.6	1267.2
30-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	20	20	1.7	105.6	2112
31-10-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	30	30	2.55	105.6	3168
01-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	10	48	648	55.08	105.6	68428.8
03-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	42	42	3.57	105.6	4435.2
04-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	22	82	6.97	105.6	8659.2
06-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
07-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	16	16	1.36	105.6	1689.6
08-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
10-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	1	1	0.09	105.6	105.6
11-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	24	84	7.14	105.6	8870.4
12-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	57	57	4.85	105.6	6019.2
13-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	2	41	161	13.69	105.6	17001.6
14-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	0	60	5.1	105.6	6336
15-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	0	60	5.1	105.6	6336
18-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	30	30	2.55	105.6	3168
19-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	15	15	1.28	105.6	1584
20-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	6	6	0.51	105.6	633.6
21-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	42	42	3.57	105.6	4435.2
22-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	24	24	2.04	105.6	2534.4
24-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	16	16	1.36	105.6	1689.6
25-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	24	24	2.04	105.6	2534.4
26-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	34	94	7.99	105.6	9926.4
27-11-2025	1373	CBLE GINGER 85GX60-MRP120.00	5	42	342	29.07	105.6	36115.2
01-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	6	66	5.61	105.6	6969.6
02-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	12	72	6.12	105.6	7603.2
03-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	56	56	4.76	105.6	5913.6
04-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	15	15	1.28	105.6	1584
05-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	24	24	2.04	105.6	2534.4
06-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	14	14	1.19	105.6	1478.4
10-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	10	45	645	54.83	105.6	68112
11-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	22	22	1.87	105.6	2323.2
12-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	30	30	2.55	105.6	3168
13-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	31	31	2.64	105.6	3273.6
15-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	2	11	131	11.14	105.6	13833.6
16-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	43	43	3.66	105.6	4540.8
17-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	4	4	0.34	105.6	422.4
26-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	10	0	600	51	105.6	63360
29-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	1	0	60	5.1	105.6	6336
30-12-2025	1373	CBLE GINGER 85GX60-MRP120.00	0	31	31	2.64	105.6	3273.6
