Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
26-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
28-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
29-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
30-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
31-07-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
02-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
04-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
05-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
06-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
08-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
11-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
12-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
13-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
15-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
16-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
18-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
19-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
20-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
21-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
22-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
23-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
25-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
26-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
27-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
29-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
30-08-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
01-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
03-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
04-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
05-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
06-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
08-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
09-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
10-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
11-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
12-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
13-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
15-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	3	96	960	19.2	35.2	33792
16-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
17-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
18-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
19-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
22-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
23-09-2025	1512	WAFER STICK VANILLA 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
