Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
30-07-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	1	0	36	5.22	135	4860
05-08-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	6	6	0.87	135	810
14-08-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	6	6	0.87	135	810
19-08-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	12	12	1.74	135	1620
21-08-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	12	12	1.74	135	1620
02-09-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	6	6	0.87	135	810
15-09-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	10	10	1.45	135	1350
26-09-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	6	6	0.87	135	810
10-10-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	12	12	1.74	135	1620
14-10-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	18	18	2.61	135	2430
15-10-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	18	18	2.61	135	2430
06-11-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	1	0	36	5.22	135	4860
13-11-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	6	6	0.87	135	810
18-11-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	10	10	1.45	135	1350
03-12-2025	1416	CBL TIKIRI MARIE 145GX36-MRP150.00	0	7	7	1.02	135	945
