Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	20	20	4	225	4500
26-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	18	18	3.6	225	4050
28-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	26	86	17.2	225	19350
29-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	5	65	13	225	14625
30-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	19	109	21.8	225	24525
31-07-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	19	109	21.8	225	24525
02-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	24	24	4.8	225	5400
04-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	25	25	5	225	5625
05-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	25	25	5	225	5625
06-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	4	64	12.8	225	14400
08-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	28	28	5.6	225	6300
11-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	18	78	15.6	225	17550
12-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	4	18	138	27.6	225	31050
13-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	26	26	5.2	225	5850
14-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	15	15	3	225	3375
15-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	5	95	19	225	21375
16-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	1	31	6.2	225	6975
18-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	18	78	15.6	225	17550
19-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	22	52	10.4	225	11700
20-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	2	62	12.4	225	13950
21-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	9	9	1.8	225	2025
22-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	2	62	12.4	225	13950
23-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	14	44	8.8	225	9900
25-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	28	88	17.6	225	19800
26-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	5	35	7	225	7875
27-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	21	51	10.2	225	11475
28-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	8	8	1.6	225	1800
29-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	4	34	6.8	225	7650
30-08-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	27	27	5.4	225	6075
01-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	27	27	5.4	225	6075
03-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	18	78	15.6	225	17550
04-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	24	24	4.8	225	5400
05-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	7	37	7.4	225	8325
06-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	14	74	14.8	225	16650
08-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	10	70	14	225	15750
09-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	13	43	8.6	225	9675
10-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	20	50	10	225	11250
11-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	18	48	9.6	225	10800
12-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	7	97	19.4	225	21825
13-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	0	30	6	225	6750
15-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	26	26	5.2	225	5850
16-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	3	63	12.6	225	14175
17-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	28	28	5.6	225	6300
18-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	5	22	172	34.4	225	38700
19-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	23	23	4.6	225	5175
22-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	15	25	475	95	225	106875
23-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	0	30	6	225	6750
24-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	22	52	10.4	225	11700
25-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	29	29	5.8	225	6525
26-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	25	25	5	225	5625
27-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	9	39	7.8	225	8775
29-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	15	45	9	225	10125
30-09-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	29	29	5.8	225	6525
01-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	25	25	5	225	5625
02-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	18	108	21.6	225	24300
03-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	28	28	5.6	225	6300
04-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	10	70	14	225	15750
07-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	18	18	3.6	225	4050
08-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	34	6	1026	205.2	225	230850
09-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	26	56	11.2	225	12600
10-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	0	15	15	3	225	3375
11-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	20	50	10	225	11250
13-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	11	41	8.2	225	9225
14-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	2	10	70	14	225	15750
15-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	18	4	544	108.8	225	122400
16-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	3	23	113	22.6	225	25425
17-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	18	48	9.6	225	10800
18-10-2025	1410	LEMON PUFF 200GX30-MRP250.00	1	18	48	9.6	225	10800
09-12-2025	1410	LEMON PUFF 200GX30-MRP250.00	15	0	450	90	225	101250
02-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	15	15	3	225	3375
03-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	3	0	90	18	225	20250
05-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	22	22	4.4	225	4950
06-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	3	33	6.6	225	7425
07-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	10	10	2	225	2250
08-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	13	13	2.6	225	2925
09-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	5	5	1	225	1125
10-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	4	34	6.8	225	7650
11-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	6	6	1.2	225	1350
12-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	12	42	8.4	225	9450
13-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	25	25	5	225	5625
14-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	6	6	1.2	225	1350
16-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	12	12	2.4	225	2700
17-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	21	21	4.2	225	4725
18-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	2	3	63	12.6	225	14175
19-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	2	10	70	14	225	15750
20-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	23	53	10.6	225	11925
21-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	27	57	11.4	225	12825
23-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	14	44	8.8	225	9900
24-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	18	18	3.6	225	4050
25-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	4	4	0.8	225	900
26-02-2026	1410	LEMON PUFF 200GX30-MRP250.00	1	0	30	6	225	6750
04-03-2026	1410	LEMON PUFF 200GX30-MRP250.00	0	1	1	0.2	225	225
