Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	23	83	6.64	78.75	6536.25
26-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	10	12	612	48.96	78.75	48195
28-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	48	108	8.64	78.75	8505
29-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	6	44	404	32.32	78.75	31815
30-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	59	179	14.32	78.75	14096.25
31-07-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	24	84	6.72	78.75	6615
02-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	6	186	14.88	78.75	14647.5
04-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	34	214	17.12	78.75	16852.5
05-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	36	96	7.68	78.75	7560
06-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	42	102	8.16	78.75	8032.5
08-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	44	104	8.32	78.75	8190
11-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	10	130	10.4	78.75	10237.5
12-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	8	0	480	38.4	78.75	37800
13-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	19	79	6.32	78.75	6221.25
14-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	20	6	1206	96.48	78.75	94972.5
15-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	5	35	335	26.8	78.75	26381.25
16-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	20	80	6.4	78.75	6300
18-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	36	156	12.48	78.75	12285
19-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	23	83	6.64	78.75	6536.25
20-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	5	24	324	25.92	78.75	25515
21-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	33	93	7.44	78.75	7323.75
22-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	44	224	17.92	78.75	17640
23-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	27	42	1662	132.96	78.75	130882.5
25-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	52	232	18.56	78.75	18270
26-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	48	228	18.24	78.75	17955
27-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	4	6	246	19.68	78.75	19372.5
28-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	16	76	6.08	78.75	5985
29-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	3	16	196	15.68	78.75	15435
30-08-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	42	102	8.16	78.75	8032.5
01-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	54	114	9.12	78.75	8977.5
02-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	0	58	58	4.64	78.75	4567.5
03-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	40	160	12.8	78.75	12600
04-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	49	109	8.72	78.75	8583.75
05-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	17	77	6.16	78.75	6063.75
06-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	4	58	298	23.84	78.75	23467.5
08-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	1	121	9.68	78.75	9528.75
09-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	53	173	13.84	78.75	13623.75
10-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	51	111	8.88	78.75	8741.25
11-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	0	20	20	1.6	78.75	1575
12-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	26	86	6.88	78.75	6772.5
13-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	23	83	6.64	78.75	6536.25
15-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	26	27	1587	126.96	78.75	124976.25
16-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	4	17	257	20.56	78.75	20238.75
17-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	2	51	171	13.68	78.75	13466.25
18-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	6	51	411	32.88	78.75	32366.25
19-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	55	115	9.2	78.75	9056.25
22-09-2025	1415	CBLF TIKIRI MARIE 80GX60-MRP90.00	1	51	111	8.88	78.75	8741.25
