Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	48	120	3.6	45	5400
26-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	26	0	1872	56.16	45	84240
28-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	12	228	6.84	45	10260
29-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	6	0	432	12.96	45	19440
30-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	12	228	6.84	45	10260
31-07-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	48	48	1.44	45	2160
02-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	36	108	3.24	45	4860
04-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	12	156	4.68	45	7020
05-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	24	24	0.72	45	1080
06-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	12	12	0.36	45	540
11-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	4	12	300	9	45	13500
12-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	8	12	588	17.64	45	26460
13-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	36	36	1.08	45	1620
14-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	51	24	3696	110.88	45	166320
15-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	24	96	2.88	45	4320
16-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	60	132	3.96	45	5940
18-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	36	252	7.56	45	11340
19-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	6	36	468	14.04	45	21060
20-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	48	192	5.76	45	8640
21-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	12	156	4.68	45	7020
22-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	12	12	0.36	45	540
23-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	11	24	816	24.48	45	36720
25-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	24	240	7.2	45	10800
26-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	44	260	7.8	45	11700
27-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	24	240	7.2	45	10800
28-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	60	60	1.8	45	2700
29-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	52	196	5.88	45	8820
30-08-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	60	60	1.8	45	2700
01-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	60	204	6.12	45	9180
02-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	31	36	2268	68.04	45	102060
03-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	36	180	5.4	45	8100
04-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	48	264	7.92	45	11880
05-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	48	120	3.6	45	5400
06-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	4	36	324	9.72	45	14580
08-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	12	84	2.52	45	3780
09-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	0	48	48	1.44	45	2160
10-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	2	12	156	4.68	45	7020
11-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	4	36	324	9.72	45	14580
12-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	3	36	252	7.56	45	11340
13-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	1	36	108	3.24	45	4860
15-09-2025	1443	ONION BISCUITS 30GX72-MRP50.00	51	12	3684	110.52	45	165780
