Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
29-07-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	8	8	0.68	105.6	844.8
30-07-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	2	26	2.21	105.6	2745.6
08-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	3	3	0.26	105.6	316.8
15-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
16-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
18-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	19	19	1.62	105.6	2006.4
19-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	16	16	1.36	105.6	1689.6
20-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	2	0	48	4.08	105.6	5068.8
21-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
22-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
23-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
25-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	2	2	0.17	105.6	211.2
26-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
27-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	4	28	2.38	105.6	2956.8
29-08-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	9	9	0.77	105.6	950.4
01-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	3	3	0.26	105.6	316.8
02-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
03-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	0	24	2.04	105.6	2534.4
04-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
05-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	1	25	2.13	105.6	2640
06-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
09-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	11	11	0.94	105.6	1161.6
11-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	6	30	2.55	105.6	3168
12-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
13-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
15-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	9	9	0.77	105.6	950.4
16-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	3	27	2.3	105.6	2851.2
19-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	8	8	0.68	105.6	844.8
22-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
23-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	4	28	2.38	105.6	2956.8
26-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
27-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	18	18	1.53	105.6	1900.8
29-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	0	24	2.04	105.6	2534.4
30-09-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	2	2	0.17	105.6	211.2
01-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	8	8	0.68	105.6	844.8
03-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	3	3	0.26	105.6	316.8
07-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	3	3	0.26	105.6	316.8
08-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	4	4	0.34	105.6	422.4
09-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	4	4	0.34	105.6	422.4
13-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
14-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	2	2	0.17	105.6	211.2
16-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	2	2	0.17	105.6	211.2
17-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	7	7	0.6	105.6	739.2
18-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	16	16	1.36	105.6	1689.6
20-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	0	12	12	1.02	105.6	1267.2
21-10-2025	1487	CREAM WAFER LEMON 85GX24-MRP120.00	1	3	27	2.3	105.6	2851.2
