Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	10	10	1.25	171	1710
26-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	3	3	0.38	171	513
28-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	29	29	3.63	171	4959
29-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	29	29	3.63	171	4959
30-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	2	19	91	11.38	171	15561
31-07-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	9	9	1.13	171	1539
02-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	9	9	1.13	171	1539
04-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	8	44	5.5	171	7524
05-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	2	2	0.25	171	342
06-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	30	30	3.75	171	5130
08-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	14	14	1.75	171	2394
11-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	26	26	3.25	171	4446
12-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	34	34	4.25	171	5814
13-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	12	12	1.5	171	2052
14-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	5	5	185	23.13	171	31635
15-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	21	21	2.63	171	3591
16-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	7	43	5.38	171	7353
18-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	12	12	1.5	171	2052
19-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	14	14	1.75	171	2394
20-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	2	38	4.75	171	6498
21-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	12	12	1.5	171	2052
22-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	32	32	4	171	5472
23-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	5	19	199	24.88	171	34029
25-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	22	58	7.25	171	9918
26-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	8	8	1	171	1368
27-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	19	19	2.38	171	3249
28-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	6	3	219	27.38	171	37449
29-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	5	41	5.13	171	7011
30-08-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	27	27	3.38	171	4617
01-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	13	13	1.63	171	2223
02-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	15	15	1.88	171	2565
03-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	31	31	3.88	171	5301
04-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	35	35	4.38	171	5985
05-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	6	42	5.25	171	7182
06-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	1	19	55	6.88	171	9405
08-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	2	2	0.25	171	342
10-09-2025	1437	TIFIN ONION 125GX36-MRP190.00	0	32	32	4	171	5472
