Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
31-07-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
05-08-2025	1556	KOME BBQ 90GX24-MRP240.00	0	10	10	0.9	216	2160
11-08-2025	1556	KOME BBQ 90GX24-MRP240.00	0	2	2	0.18	216	432
12-08-2025	1556	KOME BBQ 90GX24-MRP240.00	0	4	4	0.36	216	864
05-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	4	4	0.36	216	864
06-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
09-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
10-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	11	11	0.99	216	2376
12-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
13-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
15-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	13	13	1.17	216	2808
25-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
26-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
30-09-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
04-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	2	2	0.18	216	432
10-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	9	9	0.81	216	1944
11-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	12	12	1.08	216	2592
15-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	7	7	0.63	216	1512
27-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	20	20	1.8	216	4320
28-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	8	8	0.72	216	1728
31-10-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
06-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
07-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	2	2	0.18	216	432
12-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
18-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
20-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
27-11-2025	1556	KOME BBQ 90GX24-MRP240.00	0	19	19	1.71	216	4104
06-12-2025	1556	KOME BBQ 90GX24-MRP240.00	0	2	2	0.18	216	432
29-12-2025	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
01-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	12	12	1.08	216	2592
08-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
10-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	4	4	0.36	216	864
16-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	7	7	0.63	216	1512
17-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
24-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
29-01-2026	1556	KOME BBQ 90GX24-MRP240.00	0	8	8	0.72	216	1728
08-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	1	1	0.09	216	216
09-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	10	10	0.9	216	2160
12-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
13-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	4	4	0.36	216	864
19-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	8	8	0.72	216	1728
26-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
27-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	1	1	0.09	216	216
28-02-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
03-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
05-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	12	12	1.08	216	2592
06-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
11-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
12-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	6	6	0.54	216	1296
14-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
16-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
20-03-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
02-04-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
03-04-2026	1556	KOME BBQ 90GX24-MRP240.00	0	7	7	0.63	216	1512
05-04-2026	1556	KOME BBQ 90GX24-MRP240.00	0	3	3	0.27	216	648
