Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	48	48	0.96	45	2160
26-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	25	48	1848	36.96	45	83160
28-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	12	156	3.12	45	7020
29-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	48	264	5.28	45	11880
30-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
31-07-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	12	84	1.68	45	3780
02-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	24	96	1.92	45	4320
04-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	48	192	3.84	45	8640
05-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	0	144	2.88	45	6480
06-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	12	228	4.56	45	10260
08-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	0	216	4.32	45	9720
11-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	12	156	3.12	45	7020
12-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	6	36	468	9.36	45	21060
13-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
14-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	50	12	3612	72.24	45	162540
15-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	0	72	1.44	45	3240
16-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
18-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	0	216	4.32	45	9720
19-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
20-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	24	168	3.36	45	7560
21-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	48	120	2.4	45	5400
22-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
23-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	0	72	1.44	45	3240
25-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	24	96	1.92	45	4320
26-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	68	212	4.24	45	9540
27-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	12	84	1.68	45	3780
28-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	0	72	1.44	45	3240
29-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	16	160	3.2	45	7200
30-08-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	60	132	2.64	45	5940
01-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	24	168	3.36	45	7560
02-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	31	48	2280	45.6	45	102600
03-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	24	168	3.36	45	7560
04-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	24	96	1.92	45	4320
05-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
06-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	60	276	5.52	45	12420
08-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
09-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	60	276	5.52	45	12420
10-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	0	72	1.44	45	3240
11-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	36	180	3.6	45	8100
12-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	48	192	3.84	45	8640
13-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
15-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	25	48	1848	36.96	45	83160
16-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
17-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	48	48	0.96	45	2160
18-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	60	204	4.08	45	9180
19-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	12	156	3.12	45	7020
22-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	4	0	288	5.76	45	12960
23-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	48	192	3.84	45	8640
24-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
25-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
26-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
27-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	0	144	2.88	45	6480
29-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	12	84	1.68	45	3780
30-09-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	48	120	2.4	45	5400
01-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	36	36	0.72	45	1620
02-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	24	168	3.36	45	7560
03-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	48	120	2.4	45	5400
04-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	0	72	1.44	45	3240
07-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	24	24	0.48	45	1080
08-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	31	0	2232	44.64	45	100440
09-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
10-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
11-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	24	240	4.8	45	10800
13-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	0	216	4.32	45	9720
14-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	60	204	4.08	45	9180
15-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	33	48	2424	48.48	45	109080
16-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
17-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	36	108	2.16	45	4860
18-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	0	144	2.88	45	6480
20-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	24	96	1.92	45	4320
21-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
22-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	4	12	300	6	45	13500
23-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	7	24	528	10.56	45	23760
24-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	5	60	420	8.4	45	18900
25-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	48	48	0.96	45	2160
27-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	3	12	228	4.56	45	10260
28-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	24	96	1.92	45	4320
29-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	0	144	2.88	45	6480
30-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	60	60	1.2	45	2700
31-10-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	2	0	144	2.88	45	6480
01-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	26	12	1884	37.68	45	84780
03-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	60	132	2.64	45	5940
04-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	4	12	300	6	45	13500
06-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	48	120	2.4	45	5400
07-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	0	48	48	0.96	45	2160
08-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	26	12	1884	37.68	45	84780
10-11-2025	1444	CHEESE BUTTON 20GX72-MRP50.00	1	12	84	1.68	45	3780
