Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
26-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	5	72	1512	30.24	35.2	53222.4
28-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	0	288	5.76	35.2	10137.6
29-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	168	456	9.12	35.2	16051.2
30-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	264	264	5.28	35.2	9292.8
31-07-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
02-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
04-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
18-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	0	288	5.76	35.2	10137.6
19-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	168	456	9.12	35.2	16051.2
20-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	96	384	7.68	35.2	13516.8
21-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
22-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
23-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	10	168	3048	60.96	35.2	107289.6
25-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	120	408	8.16	35.2	14361.6
26-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	24	312	6.24	35.2	10982.4
27-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	24	312	6.24	35.2	10982.4
28-08-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	240	240	4.8	35.2	8448
02-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	5	0	1440	28.8	35.2	50688
15-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	12	0	3456	69.12	35.2	121651.2
23-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	144	432	8.64	35.2	15206.4
24-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
25-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
26-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
27-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	264	264	5.28	35.2	9292.8
29-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	216	216	4.32	35.2	7603.2
30-09-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
01-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
02-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	264	264	5.28	35.2	9292.8
03-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
04-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
07-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
08-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	240	528	10.56	35.2	18585.6
09-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
16-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	10	240	3120	62.4	35.2	109824
17-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	48	336	6.72	35.2	11827.2
18-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	0	288	5.76	35.2	10137.6
20-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	264	264	5.28	35.2	9292.8
21-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
22-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	168	168	3.36	35.2	5913.6
23-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	24	24	0.48	35.2	844.8
27-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
28-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	240	240	4.8	35.2	8448
29-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
30-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	96	96	1.92	35.2	3379.2
31-10-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	240	240	4.8	35.2	8448
01-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	20	48	5808	116.16	35.2	204441.6
03-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	144	144	2.88	35.2	5068.8
04-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	120	408	8.16	35.2	14361.6
06-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	96	384	7.68	35.2	13516.8
07-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
08-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	5	120	1560	31.2	35.2	54912
10-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
11-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
12-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	72	72	1.44	35.2	2534.4
13-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
14-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	192	192	3.84	35.2	6758.4
15-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
16-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
17-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
18-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	216	216	4.32	35.2	7603.2
19-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	5	96	1536	30.72	35.2	54067.2
20-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
21-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
22-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	48	48	0.96	35.2	1689.6
24-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	48	336	6.72	35.2	11827.2
25-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	0	120	120	2.4	35.2	4224
26-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	1	96	384	7.68	35.2	13516.8
27-11-2025	1514	WAFER STICK CHOCOLATE 20GX24X12-MRP40.00	10	48	2928	58.56	35.2	103065.6
