Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
28-07-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
29-07-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	3	5	77	6.55	105.6	8131.2
30-07-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	2	26	2.21	105.6	2745.6
31-07-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
02-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	18	18	1.53	105.6	1900.8
04-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
05-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	15	15	1.28	105.6	1584
06-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	18	18	1.53	105.6	1900.8
08-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	21	21	1.79	105.6	2217.6
11-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	9	9	0.77	105.6	950.4
13-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	6	6	0.51	105.6	633.6
15-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	22	22	1.87	105.6	2323.2
16-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	5	29	2.47	105.6	3062.4
18-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	22	22	1.87	105.6	2323.2
19-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	0	24	2.04	105.6	2534.4
20-08-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	5	29	2.47	105.6	3062.4
26-09-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	3	3	0.26	105.6	316.8
27-09-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	0	21	21	1.79	105.6	2217.6
29-09-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	0	24	2.04	105.6	2534.4
30-09-2025	1486	CREAM WAFER VANILLA 85GX24-MRP120.00	1	5	29	2.47	105.6	3062.4
