Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1422	NICE 100GX50-MRP110.00	0	34	34	3.4	96.8	3291.2
26-07-2025	1422	NICE 100GX50-MRP110.00	0	36	36	3.6	96.8	3484.8
28-07-2025	1422	NICE 100GX50-MRP110.00	2	49	149	14.9	96.8	14423.2
29-07-2025	1422	NICE 100GX50-MRP110.00	4	16	216	21.6	96.8	20908.8
30-07-2025	1422	NICE 100GX50-MRP110.00	1	30	80	8	96.8	7744
31-07-2025	1422	NICE 100GX50-MRP110.00	10	31	531	53.1	96.8	51400.8
02-08-2025	1422	NICE 100GX50-MRP110.00	0	32	32	3.2	96.8	3097.6
04-08-2025	1422	NICE 100GX50-MRP110.00	2	10	110	11	96.8	10648
05-08-2025	1422	NICE 100GX50-MRP110.00	0	48	48	4.8	96.8	4646.4
06-08-2025	1422	NICE 100GX50-MRP110.00	5	8	258	25.8	96.8	24974.4
08-08-2025	1422	NICE 100GX50-MRP110.00	0	30	30	3	96.8	2904
11-08-2025	1422	NICE 100GX50-MRP110.00	3	43	193	19.3	96.8	18682.4
12-08-2025	1422	NICE 100GX50-MRP110.00	6	1	301	30.1	96.8	29136.8
13-08-2025	1422	NICE 100GX50-MRP110.00	0	12	12	1.2	96.8	1161.6
14-08-2025	1422	NICE 100GX50-MRP110.00	50	6	2506	250.6	96.8	242580.8
15-08-2025	1422	NICE 100GX50-MRP110.00	2	17	117	11.7	96.8	11325.6
16-08-2025	1422	NICE 100GX50-MRP110.00	0	43	43	4.3	96.8	4162.4
18-08-2025	1422	NICE 100GX50-MRP110.00	3	13	163	16.3	96.8	15778.4
19-08-2025	1422	NICE 100GX50-MRP110.00	4	21	221	22.1	96.8	21392.8
20-08-2025	1422	NICE 100GX50-MRP110.00	4	27	227	22.7	96.8	21973.6
21-08-2025	1422	NICE 100GX50-MRP110.00	0	42	42	4.2	96.8	4065.6
22-08-2025	1422	NICE 100GX50-MRP110.00	1	42	92	9.2	96.8	8905.6
23-08-2025	1422	NICE 100GX50-MRP110.00	1	10	60	6	96.8	5808
25-08-2025	1422	NICE 100GX50-MRP110.00	5	40	290	29	96.8	28072
26-08-2025	1422	NICE 100GX50-MRP110.00	2	33	133	13.3	96.8	12874.4
27-08-2025	1422	NICE 100GX50-MRP110.00	1	4	54	5.4	96.8	5227.2
28-08-2025	1422	NICE 100GX50-MRP110.00	3	15	165	16.5	96.8	15972
29-08-2025	1422	NICE 100GX50-MRP110.00	1	13	63	6.3	96.8	6098.4
30-08-2025	1422	NICE 100GX50-MRP110.00	1	36	86	8.6	96.8	8324.8
01-09-2025	1422	NICE 100GX50-MRP110.00	3	6	156	15.6	96.8	15100.8
02-09-2025	1422	NICE 100GX50-MRP110.00	26	20	1320	132	96.8	127776
03-09-2025	1422	NICE 100GX50-MRP110.00	0	46	46	4.6	96.8	4452.8
04-09-2025	1422	NICE 100GX50-MRP110.00	0	39	39	3.9	96.8	3775.2
05-09-2025	1422	NICE 100GX50-MRP110.00	1	0	50	5	96.8	4840
06-09-2025	1422	NICE 100GX50-MRP110.00	0	39	39	3.9	96.8	3775.2
08-09-2025	1422	NICE 100GX50-MRP110.00	1	24	74	7.4	96.8	7163.2
09-09-2025	1422	NICE 100GX50-MRP110.00	5	24	274	27.4	96.8	26523.2
10-09-2025	1422	NICE 100GX50-MRP110.00	1	45	95	9.5	96.8	9196
11-09-2025	1422	NICE 100GX50-MRP110.00	2	32	132	13.2	96.8	12777.6
12-09-2025	1422	NICE 100GX50-MRP110.00	3	30	180	18	96.8	17424
13-09-2025	1422	NICE 100GX50-MRP110.00	0	29	29	2.9	96.8	2807.2
15-09-2025	1422	NICE 100GX50-MRP110.00	21	17	1067	106.7	96.8	103285.6
16-09-2025	1422	NICE 100GX50-MRP110.00	2	12	112	11.2	96.8	10841.6
17-09-2025	1422	NICE 100GX50-MRP110.00	1	2	52	5.2	96.8	5033.6
18-09-2025	1422	NICE 100GX50-MRP110.00	3	23	173	17.3	96.8	16746.4
19-09-2025	1422	NICE 100GX50-MRP110.00	1	7	57	5.7	96.8	5517.6
22-09-2025	1422	NICE 100GX50-MRP110.00	4	30	230	23	96.8	22264
23-09-2025	1422	NICE 100GX50-MRP110.00	3	35	185	18.5	96.8	17908
24-09-2025	1422	NICE 100GX50-MRP110.00	1	28	78	7.8	96.8	7550.4
25-09-2025	1422	NICE 100GX50-MRP110.00	1	8	58	5.8	96.8	5614.4
26-09-2025	1422	NICE 100GX50-MRP110.00	4	9	209	20.9	96.8	20231.2
27-09-2025	1422	NICE 100GX50-MRP110.00	2	19	119	11.9	96.8	11519.2
29-09-2025	1422	NICE 100GX50-MRP110.00	2	40	140	14	96.8	13552
30-09-2025	1422	NICE 100GX50-MRP110.00	2	10	110	11	96.8	10648
01-10-2025	1422	NICE 100GX50-MRP110.00	0	43	43	4.3	96.8	4162.4
02-10-2025	1422	NICE 100GX50-MRP110.00	0	27	27	2.7	96.8	2613.6
03-10-2025	1422	NICE 100GX50-MRP110.00	0	31	31	3.1	96.8	3000.8
04-10-2025	1422	NICE 100GX50-MRP110.00	1	48	98	9.8	96.8	9486.4
07-10-2025	1422	NICE 100GX50-MRP110.00	0	40	40	4	96.8	3872
