Outlet ID,Outlet Name,Address,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
197247,ANOMA STORES,"29, tyre junction",6.968,79.9109,,,,,,,,,,,,,,,,,,,,
266594,THUSALI STORES,"130/2, wewelduwa road",6.9683,79.9106,,,,,,,,,,,,,,,,,,,,
1025956,Sandun Stores,"399/a,dippitiya road, Dalugama",6.9687,79.9105,,,,,,,,,,,,,,,,,,,,
270094,ISURU BOOK SHOP,"130, wewalduwa road",6.9691,79.9107,,,,,,,,,,,,,,,,,,,,
127840,RENUKA STORES,"11/b, 6th mile spot",6.9695,79.911,,,,,,,,,,,,,,,,,,,,
1025945,Game kade,"626, vilahena road",6.9698,79.9114,,,,,,,,,,,,,,,,,,,,
25200,KAMALA STORES,"152 e ,dippitiya road, Dalugama",6.97,79.9119,,,,,,,,,,,,,,,,,,,,
264612,GAYAN STORES,"15/b, tyre junction",6.9702,79.9124,,,,,,,,,,,,,,,,,,,,
19344,SUBASINGHE STORES,"457/a, kandy road",6.9701,79.9129,,,,,,,,,,,,,,,,,,,,
19332,PRASADI STORES,"111, wewalduwa",6.9699,79.9133,,,,,,,,,,,,,,,,,,,,
19337,GAMAGE STORES,"141/a, dalugama",6.9694,79.9137,,,,,,,,,,,,,,,,,,,,
1047838,Jayasinghe Vege Shop,"550, thorana junction",6.969,79.9139,,,,,,,,,,,,,,,,,,,,
679300,A D FRUITS,"732/a, thorana junctiion",6.9686,79.9136,,,,,,,,,,,,,,,,,,,,
342568,SILVA STORES,"45,dippitigoda road",6.9683,79.9132,,,,,,,,,,,,,,,,,,,,
19352,SILVERLINE GROCERY,"120/4,Station Road,Thorana Junction,Kelaniya",6.9681,79.9127,,,,,,,,,,,,,,,,,,,,
19343,PRASHADI STORES,"33/1,Dipitigoda Road,Pattiya",6.9679,79.9122,,,,,,,,,,,,,,,,,,,,
19357,RUHUNU TRADERS,"91,Biyagama Road,Tyre Junction",6.9678,79.9117,,,,,,,,,,,,,,,,,,,,
130898,YUKEE PHARMACY,"5/2,Dipitigoda Road,Near Thorana Junction",6.9679,79.9112,,,,,,,,,,,,,,,,,,,,
19345,DAILY FOODS,"210,Kandy Road,Tyre Junction,Peliyagoda",6.9682,79.9108,,,,,,,,,,,,,,,,,,,,
238361,HANSANA STORES,"18/A,Dipitigoda Road,Gonawala",6.9686,79.9106,,,,,,,,,,,,,,,,,,,,
277000,PUBUDU STORES,"74/6,Temple Lane,Thorana Junction",6.969,79.9105,,,,,,,,,,,,,,,,,,,,
1047839,Everfresh Bakers,"150,Biyagama Road,Pattiya",6.9694,79.9106,,,,,,,,,,,,,,,,,,,,
19349,RAJAPAKSHA STORES,"12/A,Dipitigoda Road,Thorana Junction,Kelaniya",6.9698,79.9108,,,,,,,,,,,,,,,,,,,,
19354,GAYAN STORES,"45/1,Dipitigoda Road,Thorana Junction",6.9701,79.9111,,,,,,,,,,,,,,,,,,,,
22672,MALLIKA STORES,"78,Baseline Road,Near Tyre Junction,Kelaniya",6.9703,79.9116,,,,,,,,,,,,,,,,,,,,
679281,UPUL VEGETABLE,"102/3,Dipitigoda Road,Gonawala",6.9704,79.9121,,,,,,,,,,,,,,,,,,,,
19334,RUHUNU MILK BAR,"56/7,Old Kandy Road,Tyre Junction,Peliyagoda",6.9703,79.9126,,,,,,,,,,,,,,,,,,,,
1052077,Dhanushka Grocery Mart,"23,Biyagama Road,Thorana Junction",6.9701,79.913,,,,,,,,,,,,,,,,,,,,
1025957,Wasudewa Stores,"89/2,Dipitigoda Road,Kelaniya",6.9697,79.9135,,,,,,,,,,,,,,,,,,,,
19356,THUSHARI TRADE CENTRE,"14/5,Temple Road,Near Tyre Junction",6.9693,79.9138,,,,,,,,,,,,,,,,,,,,
271876,SHANTHA STORES,"67,Dipitigoda Road,Gonawala Junction",6.970329825,79.91199298,,,,,,,,,,,,,,,,,,,,
1080606,Dinsilu Tea & Grocery,"340 Dewamiththa Place, Heyiyanthuduwa",6.970453333,79.91198439,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,/³/
